Time,proximity,ambient,leanForward,qW,qX,qY,qZ,aX,aY,aZ,power,cal,DT,Hour
1582924701440.0,7.0,8805.0,6.3229422411954115,0.32525634765625,0.0108642578125,-0.0543212890625,-0.94403076171875,0.00390625,0.0234375,0.0078125,0.0006256103515625,3.0,2020-02-28 15:18:21.440000-06:00,2020-02-28 15:00
1582924701490.0,7.0,8805.0,6.322942241195411,0.32525634765625,0.0108642578125,-0.0543212890625,-0.94403076171875,0.00390625,0.0234375,0.0078125,0.0006256103515625,3.0,2020-02-28 15:18:21.490000-06:00,2020-02-28 15:00
1582924701540.0,7.0,8793.0,6.320185720920563,0.32525634765625,0.01092529296875,-0.05426025390625,-0.94403076171875,0.00390625,-0.015625,0.0078125,0.0003204345703125,3.0,2020-02-28 15:18:21.540000-06:00,2020-02-28 15:00
1582924701590.0,7.0,8793.0,6.316739335656166,0.32525634765625,0.01092529296875,-0.05419921875,-0.94403076171875,0.00390625,0.0234375,0.0078125,0.0006256103515625,3.0,2020-02-28 15:18:21.590000-06:00,2020-02-28 15:00
1582924701640.0,7.0,8793.0,6.312602013349533,0.32525634765625,0.0108642578125,-0.05413818359375,-0.94403076171875,0.00390625,-0.015625,-0.03125,0.0012359619140625,3.0,2020-02-28 15:18:21.640000-06:00,2020-02-28 15:00
1582924701690.0,7.0,8793.0,6.312602003168592,0.32525634765625,0.0108642578125,-0.05413818359375,-0.94403076171875,0.00390625,-0.015625,0.046875,0.0024566650390625,3.0,2020-02-28 15:18:21.690000-06:00,2020-02-28 15:00
1582924701740.0,7.0,8793.0,6.312602003168592,0.32525634765625,0.0108642578125,-0.05413818359375,-0.94403076171875,0.00390625,-0.015625,-0.03125,0.0012359619140625,3.0,2020-02-28 15:18:21.740000-06:00,2020-02-28 15:00
1582924701790.0,7.0,8793.0,6.309852614998817,0.32525634765625,0.01092529296875,-0.0540771484375,-0.94403076171875,0.00390625,-0.015625,0.0078125,0.0003204345703125,3.0,2020-02-28 15:18:21.790000-06:00,2020-02-28 15:00
1582924701840.0,8.0,8788.0,6.313294976949692,0.32525634765625,0.01092529296875,-0.05413818359375,-0.94403076171875,0.00390625,0.0234375,0.0078125,0.0006256103515625,3.0,2020-02-28 15:18:21.840000-06:00,2020-02-28 15:00
1582924701890.0,8.0,8788.0,6.35321831703186,0.3253173828125,0.010986328125,-0.05413818359375,-0.9439697265625,0.00390625,-0.015625,0.0078125,0.0003204345703125,3.0,2020-02-28 15:18:21.890000-06:00,2020-02-28 15:00
1582924701940.0,7.0,8785.0,6.2898173332214355,0.3253173828125,0.010986328125,-0.0540771484375,-0.94403076171875,0.00390625,0.0234375,0.0,0.0005645751953125,3.0,2020-02-28 15:18:21.940000-06:00,2020-02-28 15:00
1582924701990.0,7.0,8785.0,6.3064122796058655,0.32525634765625,0.01092529296875,-0.05401611328125,-0.94403076171875,0.00390625,-0.015625,0.0,0.0002593994140625,3.0,2020-02-28 15:18:21.990000-06:00,2020-02-28 15:00
