Time,accX,accY,accZ,DT,Hour
1582925930804.0,-1.776832,-3.51641,8.881167,2020-02-28 15:38:50.804000-06:00,2020-02-28 15:00
1582925930824.0,0.982784,-6.625769,8.071488,2020-02-28 15:38:50.824000-06:00,2020-02-28 15:00
1582925930844.0,1.7086205,-8.700272,9.269238,2020-02-28 15:38:50.844000-06:00,2020-02-28 15:00
1582925930864.0,0.27611149999999995,-11.155660000000001,12.474418,2020-02-28 15:38:50.864000-06:00,2020-02-28 15:00
1582925930885.0,-1.0270405,-7.5959463000000005,12.888839,2020-02-28 15:38:50.885000-06:00,2020-02-28 15:00
1582925930904.0,0.417446,-5.1285815,17.193552,2020-02-28 15:38:50.904000-06:00,2020-02-28 15:00
1582925930925.0,-1.254613,-5.365736,12.038437,2020-02-28 15:38:50.925000-06:00,2020-02-28 15:00
1582925930944.0,-0.6964615,-5.859209,6.722822,2020-02-28 15:38:50.944000-06:00,2020-02-28 15:00
1582925930964.0,-0.46170249999999996,-5.6651735,6.56951,2020-02-28 15:38:50.964000-06:00,2020-02-28 15:00
1582925930984.0,0.335999,-5.5070705,7.7888193,2020-02-28 15:38:50.984000-06:00,2020-02-28 15:00
1582925931004.0,-0.0784225,-2.5222776000000002,12.984658999999999,2020-02-28 15:38:51.004000-06:00,2020-02-28 15:00
1582925931024.0,-1.374388,-1.8946565,10.035798,2020-02-28 15:38:51.024000-06:00,2020-02-28 15:00
1582925931045.0,-1.8846294999999997,-3.008564,9.180605,2020-02-28 15:38:51.045000-06:00,2020-02-28 15:00
1582925931063.0,-1.4630215,-2.328242,9.918419,2020-02-28 15:38:51.063000-06:00,2020-02-28 15:00
1582925931084.0,-0.3275545,-2.7474543999999996,9.252469999999999,2020-02-28 15:38:51.084000-06:00,2020-02-28 15:00
1582925931104.0,1.964939,-4.096121,10.792776,2020-02-28 15:38:51.104000-06:00,2020-02-28 15:00
1582925931123.0,-0.344323,-2.543837,10.32805,2020-02-28 15:38:51.123000-06:00,2020-02-28 15:00
1582925931144.0,-0.928825,-3.310397,8.617662,2020-02-28 15:38:51.144000-06:00,2020-02-28 15:00
1582925931165.0,0.9228965,-3.7727284,7.379189,2020-02-28 15:38:51.165000-06:00,2020-02-28 15:00
1582925931184.0,0.9085235,-3.3846574,8.152935000000001,2020-02-28 15:38:51.184000-06:00,2020-02-28 15:00
1582925931203.0,0.307253,-3.339143,9.271633999999999,2020-02-28 15:38:51.203000-06:00,2020-02-28 15:00
1582925931224.0,0.7408385000000001,-3.8254294,10.81194,2020-02-28 15:38:51.224000-06:00,2020-02-28 15:00
1582925931244.0,0.8558225,-4.441073,12.227681,2020-02-28 15:38:51.244000-06:00,2020-02-28 15:00
1582925931264.0,0.1946645,-4.6063623,12.498372,2020-02-28 15:38:51.264000-06:00,2020-02-28 15:00
1582925931284.0,-0.272458,-3.4469404000000003,12.773855000000001,2020-02-28 15:38:51.284000-06:00,2020-02-28 15:00
1582925931304.0,-0.7611399999999999,-2.735477,12.630125,2020-02-28 15:38:51.304000-06:00,2020-02-28 15:00
1582925931324.0,-1.149211,-2.3833385,11.966572,2020-02-28 15:38:51.324000-06:00,2020-02-28 15:00
1582925931344.0,-1.1420245,-1.7509265,10.584368,2020-02-28 15:38:51.344000-06:00,2020-02-28 15:00
1582925931364.0,-1.427089,-1.197566,9.583049,2020-02-28 15:38:51.364000-06:00,2020-02-28 15:00
1582925931384.0,-2.093038,-0.8214725,9.286007000000001,2020-02-28 15:38:51.384000-06:00,2020-02-28 15:00
1582925931404.0,-2.5865110000000002,0.10558599999999999,9.331521,2020-02-28 15:38:51.404000-06:00,2020-02-28 15:00
1582925931423.0,-2.4739225,0.35711350000000003,8.586521000000001,2020-02-28 15:38:51.423000-06:00,2020-02-28 15:00
1582925931443.0,-2.3948709999999997,0.5247985,8.239174,2020-02-28 15:38:51.443000-06:00,2020-02-28 15:00
1582925931463.0,-2.275096,0.081631,8.440395,2020-02-28 15:38:51.463000-06:00,2020-02-28 15:00
1582925931483.0,-2.591302,0.2181745,9.82739,2020-02-28 15:38:51.483000-06:00,2020-02-28 15:00
1582925931504.0,-2.3254015,0.3810685,9.645332000000002,2020-02-28 15:38:51.504000-06:00,2020-02-28 15:00
1582925931523.0,-2.112202,0.761953,9.190187,2020-02-28 15:38:51.523000-06:00,2020-02-28 15:00
1582925931543.0,-1.5300955,0.369091,8.888354,2020-02-28 15:38:51.543000-06:00,2020-02-28 15:00
1582925931563.0,-0.9982945,-0.536408,9.573466999999999,2020-02-28 15:38:51.563000-06:00,2020-02-28 15:00
1582925931583.0,-0.5383585,-0.349559,10.007052,2020-02-28 15:38:51.583000-06:00,2020-02-28 15:00
1582925931603.0,0.1036355,0.1511005,9.73157,2020-02-28 15:38:51.603000-06:00,2020-02-28 15:00
1582925931622.0,0.752816,0.1798465,9.254866,2020-02-28 15:38:51.622000-06:00,2020-02-28 15:00
1582925931643.0,0.877382,0.1654735,8.854817,2020-02-28 15:38:51.643000-06:00,2020-02-28 15:00
1582925931663.0,1.0163209999999998,0.2852485,9.389013,2020-02-28 15:38:51.663000-06:00,2020-02-28 15:00
1582925931683.0,1.49063,-0.1148,9.446506,2020-02-28 15:38:51.683000-06:00,2020-02-28 15:00
1582925931703.0,1.3732505,-0.1171955,9.305171000000001,2020-02-28 15:38:51.703000-06:00,2020-02-28 15:00
1582925931723.0,1.6990385,-0.2369705,9.218933,2020-02-28 15:38:51.723000-06:00,2020-02-28 15:00
1582925931743.0,2.482367,0.016952500000000002,9.338708,2020-02-28 15:38:51.743000-06:00,2020-02-28 15:00
1582925931763.0,2.8225279999999997,0.4146055,9.882486,2020-02-28 15:38:51.763000-06:00,2020-02-28 15:00
1582925931783.0,2.295518,0.805072,9.856136,2020-02-28 15:38:51.783000-06:00,2020-02-28 15:00
1582925931803.0,1.006739,1.571632,8.497888,2020-02-28 15:38:51.803000-06:00,2020-02-28 15:00
1582925931823.0,-0.262876,3.19099,6.924044,2020-02-28 15:38:51.823000-06:00,2020-02-28 15:00
1582925931843.0,-0.5503359999999999,3.6533214999999997,5.5945415,2020-02-28 15:38:51.843000-06:00,2020-02-28 15:00
1582925931863.0,0.12279949999999999,3.28681,5.472371,2020-02-28 15:38:51.863000-06:00,2020-02-28 15:00
1582925931883.0,0.91571,2.9466490000000003,6.694076,2020-02-28 15:38:51.883000-06:00,2020-02-28 15:00
1582925931903.0,1.433138,3.085588,7.537292,2020-02-28 15:38:51.903000-06:00,2020-02-28 15:00
1582925931922.0,2.032013,2.2783046000000002,6.4808764000000005,2020-02-28 15:38:51.922000-06:00,2020-02-28 15:00
1582925931942.0,2.6141195,1.303336,5.9203296,2020-02-28 15:38:51.942000-06:00,2020-02-28 15:00
1582925931962.0,3.7352135000000004,1.078159,7.082147,2020-02-28 15:38:51.962000-06:00,2020-02-28 15:00
1582925931982.0,4.8706803,1.2865673999999998,8.7422285,2020-02-28 15:38:51.982000-06:00,2020-02-28 15:00
1582925932003.0,5.8719993,0.5966635,8.907518,2020-02-28 15:38:52.003000-06:00,2020-02-28 15:00
1582925932022.0,7.1224504,-0.670556,8.495492,2020-02-28 15:38:52.022000-06:00,2020-02-28 15:00
1582925932042.0,8.087837,-1.604801,8.919496,2020-02-28 15:38:52.042000-06:00,2020-02-28 15:00
1582925932062.0,8.372902,-1.6886435000000002,9.899255,2020-02-28 15:38:52.062000-06:00,2020-02-28 15:00
1582925932083.0,7.211084,-1.3532735,10.847873,2020-02-28 15:38:52.083000-06:00,2020-02-28 15:00
1582925932102.0,5.4551826,-1.2071479999999999,10.934111,2020-02-28 15:38:52.102000-06:00,2020-02-28 15:00
1582925932121.0,4.2718053,-0.9460385,10.052567,2020-02-28 15:38:52.121000-06:00,2020-02-28 15:00
1582925932142.0,3.5363870000000004,-1.178402,9.032084,2020-02-28 15:38:52.142000-06:00,2020-02-28 15:00
1582925932162.0,2.9351165,-0.6442055,8.780557,2020-02-28 15:38:52.162000-06:00,2020-02-28 15:00
1582925932181.0,2.8009684,-0.100427,8.608081,2020-02-28 15:38:52.181000-06:00,2020-02-28 15:00
1582925932202.0,2.520695,0.1271455,8.667968,2020-02-28 15:38:52.202000-06:00,2020-02-28 15:00
1582925932221.0,2.472785,-0.181874,8.366135,2020-02-28 15:38:52.221000-06:00,2020-02-28 15:00
1582925932241.0,2.424875,-0.9125015,7.6642537,2020-02-28 15:38:52.241000-06:00,2020-02-28 15:00
1582925932261.0,2.3122866,-1.74374,8.047533,2020-02-28 15:38:52.261000-06:00,2020-02-28 15:00
1582925932281.0,2.515904,-2.55821,8.926682000000001,2020-02-28 15:38:52.281000-06:00,2020-02-28 15:00
1582925932301.0,2.0727365,-2.5510235,9.168628,2020-02-28 15:38:52.301000-06:00,2020-02-28 15:00
1582925932321.0,1.1528645,-2.9726315,8.356553,2020-02-28 15:38:52.321000-06:00,2020-02-28 15:00
1582925932341.0,0.944456,-2.8528564,9.664496,2020-02-28 15:38:52.341000-06:00,2020-02-28 15:00
1582925932361.0,1.8834919999999997,-3.387053,9.429737,2020-02-28 15:38:52.361000-06:00,2020-02-28 15:00
1582925932381.0,2.1589744,-3.9164586000000003,8.598498,2020-02-28 15:38:52.381000-06:00,2020-02-28 15:00
1582925932401.0,2.1637654,-4.201523,7.860684399999999,2020-02-28 15:38:52.401000-06:00,2020-02-28 15:00
1582925932421.0,1.2918034999999999,-4.172777,8.114608,2020-02-28 15:38:52.421000-06:00,2020-02-28 15:00
1582925932441.0,0.8893595,-4.4290953,8.826071,2020-02-28 15:38:52.441000-06:00,2020-02-28 15:00
1582925932460.0,0.853427,-4.795607,9.168628,2020-02-28 15:38:52.460000-06:00,2020-02-28 15:00
1582925932481.0,0.44379650000000004,-4.599176,9.611794999999999,2020-02-28 15:38:52.481000-06:00,2020-02-28 15:00
1582925932501.0,0.2042465,-5.099835400000001,9.242888,2020-02-28 15:38:52.501000-06:00,2020-02-28 15:00
1582925932521.0,0.5923175,-4.9944334,10.407100999999999,2020-02-28 15:38:52.521000-06:00,2020-02-28 15:00
1582925932540.0,-1.168375,-4.877054,10.179528,2020-02-28 15:38:52.540000-06:00,2020-02-28 15:00
1582925932561.0,-1.9205619999999999,-4.675832,8.787742999999999,2020-02-28 15:38:52.561000-06:00,2020-02-28 15:00
1582925932581.0,-1.71934,-4.1847544,9.187792,2020-02-28 15:38:52.581000-06:00,2020-02-28 15:00
1582925932601.0,-1.5588415,-4.5632434,9.561489,2020-02-28 15:38:52.601000-06:00,2020-02-28 15:00
1582925932620.0,-0.6916705,-3.808661,10.069336,2020-02-28 15:38:52.620000-06:00,2020-02-28 15:00
1582925932641.0,0.4006775,-3.5643199999999995,10.687374,2020-02-28 15:38:52.641000-06:00,2020-02-28 15:00
1582925932660.0,0.110822,-3.2840464,9.527952,2020-02-28 15:38:52.660000-06:00,2020-02-28 15:00
1582925932681.0,0.1611275,-3.9164586000000003,9.23091,2020-02-28 15:38:52.681000-06:00,2020-02-28 15:00
1582925932700.0,0.781562,-4.412326999999999,8.787742999999999,2020-02-28 15:38:52.700000-06:00,2020-02-28 15:00
1582925932721.0,0.5324300000000001,-3.161876,9.508788000000001,2020-02-28 15:38:52.721000-06:00,2020-02-28 15:00
1582925932740.0,0.623459,-4.465028,9.1638365,2020-02-28 15:38:52.740000-06:00,2020-02-28 15:00
1582925932760.0,2.252399,-4.453050599999999,7.6906039999999996,2020-02-28 15:38:52.760000-06:00,2020-02-28 15:00
1582925932779.0,3.8310334999999998,-4.6063623,9.166232,2020-02-28 15:38:52.779000-06:00,2020-02-28 15:00
1582925932800.0,1.3469,-5.109417400000001,7.201922,2020-02-28 15:38:52.800000-06:00,2020-02-28 15:00
1582925932820.0,2.8440876,-5.8759775,7.532501,2020-02-28 15:38:52.820000-06:00,2020-02-28 15:00
1582925932839.0,3.6920946000000003,-5.7322474,7.6642537,2020-02-28 15:38:52.839000-06:00,2020-02-28 15:00
1582925932860.0,2.7770135,-4.786025,8.021183,2020-02-28 15:38:52.860000-06:00,2020-02-28 15:00
1582925932879.0,2.2452126,-4.3739989999999995,8.524238,2020-02-28 15:38:52.879000-06:00,2020-02-28 15:00
1582925932900.0,2.0008714,-5.2196107000000005,7.918176700000001,2020-02-28 15:38:52.900000-06:00,2020-02-28 15:00
1582925932919.0,1.5696815,-6.1730194,7.7552824000000005,2020-02-28 15:38:52.919000-06:00,2020-02-28 15:00
1582925932940.0,1.0905815,-5.744225,8.711087,2020-02-28 15:38:52.940000-06:00,2020-02-28 15:00
1582925932959.0,0.805517,-4.096121,10.002261,2020-02-28 15:38:52.959000-06:00,2020-02-28 15:00
1582925932980.0,1.3397135,-4.6494813,8.833258,2020-02-28 15:38:52.980000-06:00,2020-02-28 15:00
1582925933000.0,1.8763055,-4.259015,8.699109,2020-02-28 15:38:53-06:00,2020-02-28 15:00
1582925933019.0,1.7900676,-3.5739019999999995,9.750734,2020-02-28 15:38:53.019000-06:00,2020-02-28 15:00
1582925933040.0,1.9529613999999997,-3.5954616,9.23091,2020-02-28 15:38:53.040000-06:00,2020-02-28 15:00
1582925933059.0,1.8475595,-3.6745129999999997,8.112212,2020-02-28 15:38:53.059000-06:00,2020-02-28 15:00
1582925933079.0,1.0187165,-3.7775195,7.604366000000001,2020-02-28 15:38:53.079000-06:00,2020-02-28 15:00
1582925933100.0,0.307253,-3.6912816,8.251151,2020-02-28 15:38:53.100000-06:00,2020-02-28 15:00
1582925933119.0,-0.40421050000000003,-4.079352399999999,8.505074,2020-02-28 15:38:53.119000-06:00,2020-02-28 15:00
1582925933140.0,0.16831400000000002,-4.958501,8.437999999999999,2020-02-28 15:38:53.140000-06:00,2020-02-28 15:00
1582925933159.0,1.6175915,-4.821957599999999,9.503998,2020-02-28 15:38:53.159000-06:00,2020-02-28 15:00
1582925933180.0,2.0344086,-4.369208,10.335236,2020-02-28 15:38:53.180000-06:00,2020-02-28 15:00
1582925933199.0,1.0163209999999998,-4.445864,9.784271,2020-02-28 15:38:53.199000-06:00,2020-02-28 15:00
1582925933219.0,0.46535600000000005,-4.929755,9.781875999999999,2020-02-28 15:38:53.219000-06:00,2020-02-28 15:00
1582925933240.0,0.9228965,-4.1943364,11.691089,2020-02-28 15:38:53.240000-06:00,2020-02-28 15:00
1582925933259.0,1.447511,-3.9979055,10.890992,2020-02-28 15:38:53.259000-06:00,2020-02-28 15:00
1582925933279.0,1.711016,-3.9547865,9.15665,2020-02-28 15:38:53.279000-06:00,2020-02-28 15:00
1582925933299.0,2.7674315,-3.1403165,8.823675,2020-02-28 15:38:53.299000-06:00,2020-02-28 15:00
1582925933319.0,2.947094,-1.9976630000000002,7.4821954,2020-02-28 15:38:53.319000-06:00,2020-02-28 15:00
1582925933339.0,2.2595856,-1.0706044,5.060345,2020-02-28 15:38:53.339000-06:00,2020-02-28 15:00
1582925933358.0,1.4403245,-1.5592865,3.450569,2020-02-28 15:38:53.358000-06:00,2020-02-28 15:00
1582925933379.0,1.8882830000000002,-3.166667,3.220601,2020-02-28 15:38:53.379000-06:00,2020-02-28 15:00
1582925933399.0,2.3673830000000002,-4.7980027000000005,4.092563,2020-02-28 15:38:53.399000-06:00,2020-02-28 15:00
1582925933418.0,1.984103,-4.8123755,5.060345,2020-02-28 15:38:53.418000-06:00,2020-02-28 15:00
1582925933439.0,1.7421575,-6.4413157,6.914461999999999,2020-02-28 15:38:53.439000-06:00,2020-02-28 15:00
1582925933459.0,0.522848,-7.7157216,7.194735499999999,2020-02-28 15:38:53.459000-06:00,2020-02-28 15:00
1582925933478.0,-0.358696,-7.330046,7.062983,2020-02-28 15:38:53.478000-06:00,2020-02-28 15:00
1582925933499.0,-1.0006899999999999,-7.2054800000000006,10.32805,2020-02-28 15:38:53.499000-06:00,2020-02-28 15:00
1582925933519.0,-0.42577,-7.9648533,15.753857,2020-02-28 15:38:53.519000-06:00,2020-02-28 15:00
1582925933539.0,1.006739,-5.5549803,16.364710000000002,2020-02-28 15:38:53.539000-06:00,2020-02-28 15:00
1582925933559.0,0.9133145,-4.5680346,10.562808,2020-02-28 15:38:53.559000-06:00,2020-02-28 15:00
1582925933578.0,-1.0318315,-3.1954130000000003,7.304928299999999,2020-02-28 15:38:53.578000-06:00,2020-02-28 15:00
1582925933598.0,-0.679693,-1.3077590000000001,8.370925999999999,2020-02-28 15:38:53.598000-06:00,2020-02-28 15:00
1582925933618.0,-0.5718955,-2.0479684,10.138805,2020-02-28 15:38:53.618000-06:00,2020-02-28 15:00
1582925933639.0,-0.598246,-2.615702,11.065864,2020-02-28 15:38:53.639000-06:00,2020-02-28 15:00
1582925933658.0,0.3048575,-2.9103484,10.768822,2020-02-28 15:38:53.658000-06:00,2020-02-28 15:00
1582925933678.0,-0.17663800000000002,-3.9715550000000004,9.813017,2020-02-28 15:38:53.678000-06:00,2020-02-28 15:00
1582925933698.0,0.5420119999999999,-3.9164586000000003,8.660782000000001,2020-02-28 15:38:53.698000-06:00,2020-02-28 15:00
1582925933718.0,1.131305,-1.4395115,9.571072000000001,2020-02-28 15:38:53.718000-06:00,2020-02-28 15:00
1582925933738.0,0.5204525,1.8830470000000001,12.177375999999999,2020-02-28 15:38:53.738000-06:00,2020-02-28 15:00
1582925933758.0,0.910919,1.2099115,10.596346,2020-02-28 15:38:53.758000-06:00,2020-02-28 15:00
1582925933778.0,-0.104773,2.9538355,8.263128,2020-02-28 15:38:53.778000-06:00,2020-02-28 15:00
1582925933798.0,-1.8798384999999997,1.9333525000000003,6.737195,2020-02-28 15:38:53.798000-06:00,2020-02-28 15:00
1582925933818.0,0.417446,3.6724856,8.145749,2020-02-28 15:38:53.818000-06:00,2020-02-28 15:00
1582925933837.0,2.1493926,4.120444,10.605927000000001,2020-02-28 15:38:53.837000-06:00,2020-02-28 15:00
1582925933858.0,1.9912895,5.6320046999999995,9.820203999999999,2020-02-28 15:38:53.858000-06:00,2020-02-28 15:00
1582925933878.0,0.8222855,3.804238,8.969801,2020-02-28 15:38:53.878000-06:00,2020-02-28 15:00
1582925933898.0,-0.205384,3.804238,6.967163,2020-02-28 15:38:53.898000-06:00,2020-02-28 15:00
1582925933918.0,0.0748895,6.151828,8.957824,2020-02-28 15:38:53.918000-06:00,2020-02-28 15:00
1582925933938.0,1.476257,6.2883716,10.4478245,2020-02-28 15:38:53.938000-06:00,2020-02-28 15:00
1582925933957.0,2.472785,5.342149,9.338708,2020-02-28 15:38:53.957000-06:00,2020-02-28 15:00
1582925933978.0,0.968411,5.399641,8.378113,2020-02-28 15:38:53.978000-06:00,2020-02-28 15:00
1582925933998.0,-2.1720896,5.0235476,7.2450410000000005,2020-02-28 15:38:53.998000-06:00,2020-02-28 15:00
1582925934017.0,-3.8992449999999996,4.62829,5.9011655,2020-02-28 15:38:54.017000-06:00,2020-02-28 15:00
1582925934038.0,-3.755515,5.5816989999999995,5.0579495,2020-02-28 15:38:54.038000-06:00,2020-02-28 15:00
1582925934057.0,-3.3075563999999997,6.142246,5.525072,2020-02-28 15:38:54.057000-06:00,2020-02-28 15:00
1582925934077.0,-1.9373305,4.7384830000000004,5.6089144,2020-02-28 15:38:54.077000-06:00,2020-02-28 15:00
1582925934098.0,-2.3062375,3.0688195,4.7776760000000005,2020-02-28 15:38:54.098000-06:00,2020-02-28 15:00
1582925934117.0,-4.8119307000000004,5.4834833,4.5980134,2020-02-28 15:38:54.117000-06:00,2020-02-28 15:00
1582925934137.0,-6.888828999999999,8.772505,3.0840576,2020-02-28 15:38:54.137000-06:00,2020-02-28 15:00
1582925934156.0,-8.105742999999999,9.270769,4.1476593,2020-02-28 15:38:54.156000-06:00,2020-02-28 15:00
1582925934177.0,-7.643411599999999,9.103083999999999,9.056039,2020-02-28 15:38:54.177000-06:00,2020-02-28 15:00
1582925934197.0,-5.942606400000001,8.446717,9.616586,2020-02-28 15:38:54.197000-06:00,2020-02-28 15:00
1582925934217.0,-4.843072,6.678838000000001,8.277500999999999,2020-02-28 15:38:54.217000-06:00,2020-02-28 15:00
1582925934238.0,-4.787975299999999,4.745669400000001,9.508788000000001,2020-02-28 15:38:54.238000-06:00,2020-02-28 15:00
1582925934257.0,-4.787975299999999,4.168354,11.065864,2020-02-28 15:38:54.257000-06:00,2020-02-28 15:00
1582925934277.0,-4.2418013,3.152662,9.537535,2020-02-28 15:38:54.277000-06:00,2020-02-28 15:00
1582925934297.0,-2.3158195,2.8915523999999997,9.250074,2020-02-28 15:38:54.297000-06:00,2020-02-28 15:00
1582925934317.0,-2.4355946,3.6557169999999997,10.301699000000001,2020-02-28 15:38:54.317000-06:00,2020-02-28 15:00
1582925934337.0,-2.088247,3.62218,9.27403,2020-02-28 15:38:54.337000-06:00,2020-02-28 15:00
1582925934356.0,-1.8079735000000001,3.593434,8.493096000000001,2020-02-28 15:38:54.356000-06:00,2020-02-28 15:00
1582925934376.0,-1.273777,4.233032700000001,8.373322,2020-02-28 15:38:54.376000-06:00,2020-02-28 15:00
1582925934396.0,0.7216745,2.8340604,8.878772,2020-02-28 15:38:54.396000-06:00,2020-02-28 15:00
1582925934417.0,0.1132175,3.253273,8.136167,2020-02-28 15:38:54.417000-06:00,2020-02-28 15:00
1582925934437.0,-0.023326,4.5157013,7.340861,2020-02-28 15:38:54.437000-06:00,2020-02-28 15:00
1582925934456.0,-1.2090985,5.327776,7.3911667,2020-02-28 15:38:54.456000-06:00,2020-02-28 15:00
1582925934476.0,-0.16466050000000002,3.603016,7.597179400000001,2020-02-28 15:38:54.476000-06:00,2020-02-28 15:00
1582925934496.0,3.6537664,1.154815,8.833258,2020-02-28 15:38:54.496000-06:00,2020-02-28 15:00
1582925934516.0,5.8001347,2.5370185000000003,11.45633,2020-02-28 15:38:54.516000-06:00,2020-02-28 15:00
1582925934537.0,3.5172230000000004,3.938386,11.360510000000001,2020-02-28 15:38:54.537000-06:00,2020-02-28 15:00
1582925934556.0,2.070341,2.3118415,9.051248,2020-02-28 15:38:54.556000-06:00,2020-02-28 15:00
