Time,rotX,rotY,rotZ,DT,Hour
1582925932198.0,-0.6226566,1.2449046,1.8178406999999999,2020-02-28 15:38:52.198000-06:00,2020-02-28 15:00
1582925932248.0,-0.93184596,0.59600794,1.3109126,2020-02-28 15:38:52.248000-06:00,2020-02-28 15:00
1582925932298.0,-1.4118534,0.48960796,0.5744121,2020-02-28 15:38:52.298000-06:00,2020-02-28 15:00
1582925932347.0,-1.5900218000000002,0.2527581,0.86458826,2020-02-28 15:38:52.347000-06:00,2020-02-28 15:00
1582925932397.0,-0.6077749,1.3306755,1.0525466,2020-02-28 15:38:52.397000-06:00,2020-02-28 15:00
1582925932447.0,-0.5662451000000001,1.1875443,1.0205737,2020-02-28 15:38:52.447000-06:00,2020-02-28 15:00
1582925932497.0,-0.103299156,0.7061615,-0.03903678,2020-02-28 15:38:52.497000-06:00,2020-02-28 15:00
1582925932547.0,0.07208149,-0.19973662,-0.9254859000000001,2020-02-28 15:38:52.547000-06:00,2020-02-28 15:00
1582925932597.0,0.5026065,-0.06225229400000001,-0.62257636,2020-02-28 15:38:52.597000-06:00,2020-02-28 15:00
1582925932648.0,0.11727394,-0.16484024,-0.6429014000000001,2020-02-28 15:38:52.648000-06:00,2020-02-28 15:00
1582925932698.0,-0.14264491,-0.8104866999999999,-0.44779432,2020-02-28 15:38:52.698000-06:00,2020-02-28 15:00
1582925932747.0,-0.8128356,-1.4621551000000002,0.016419148,2020-02-28 15:38:52.747000-06:00,2020-02-28 15:00
1582925932797.0,-0.66131794,-1.2093201999999998,-0.1321546,2020-02-28 15:38:52.797000-06:00,2020-02-28 15:00
1582925932848.0,-0.18303771,-0.122183844,0.3164488,2020-02-28 15:38:52.848000-06:00,2020-02-28 15:00
1582925932897.0,0.32578608,0.07933408,0.36972174,2020-02-28 15:38:52.897000-06:00,2020-02-28 15:00
1582925932947.0,0.5186641,0.49497914,0.42280152,2020-02-28 15:38:52.947000-06:00,2020-02-28 15:00
1582925932997.0,0.37048692,0.45834040000000004,0.18936646,2020-02-28 15:38:52.997000-06:00,2020-02-28 15:00
1582925933048.0,0.36105677,-0.0019203019,0.14179866,2020-02-28 15:38:53.048000-06:00,2020-02-28 15:00
1582925933098.0,0.48643145,-0.20020218,0.16134463,2020-02-28 15:38:53.098000-06:00,2020-02-28 15:00
1582925933147.0,0.107791364,0.0853643,0.08705546,2020-02-28 15:38:53.147000-06:00,2020-02-28 15:00
1582925933197.0,-0.32408753,-0.052516904,-0.010019712,2020-02-28 15:38:53.197000-06:00,2020-02-28 15:00
1582925933247.0,-0.9611815,0.48881078,0.24276276,2020-02-28 15:38:53.247000-06:00,2020-02-28 15:00
1582925933298.0,-1.0399585999999998,-0.3652614,0.3423095,2020-02-28 15:38:53.298000-06:00,2020-02-28 15:00
1582925933347.0,0.16087817,-0.92043865,0.2395438,2020-02-28 15:38:53.347000-06:00,2020-02-28 15:00
1582925933397.0,0.9584224,-1.0077099,1.0712773000000002,2020-02-28 15:38:53.397000-06:00,2020-02-28 15:00
1582925933448.0,1.8826773,-0.56466067,1.6031236999999998,2020-02-28 15:38:53.448000-06:00,2020-02-28 15:00
1582925933497.0,-0.79652894,1.1471905,0.83431107,2020-02-28 15:38:53.497000-06:00,2020-02-28 15:00
1582925933547.0,1.0006373,2.2913554,-0.29058084,2020-02-28 15:38:53.547000-06:00,2020-02-28 15:00
1582925933597.0,1.8277389,0.6216636999999999,-0.7358892,2020-02-28 15:38:53.597000-06:00,2020-02-28 15:00
1582925933647.0,1.4828787,-0.61415696,-0.53409153,2020-02-28 15:38:53.647000-06:00,2020-02-28 15:00
1582925933698.0,3.4392730000000005,-0.7504754,-0.61797506,2020-02-28 15:38:53.698000-06:00,2020-02-28 15:00
1582925933747.0,4.6584187,-0.6266655,-0.36660334,2020-02-28 15:38:53.747000-06:00,2020-02-28 15:00
1582925933797.0,3.9142309999999996,0.5072411,-0.32197466,2020-02-28 15:38:53.797000-06:00,2020-02-28 15:00
1582925933848.0,2.8825104,0.3177645,-0.33433148,2020-02-28 15:38:53.848000-06:00,2020-02-28 15:00
1582925933897.0,3.214906,0.7122804,-1.3572183999999998,2020-02-28 15:38:53.897000-06:00,2020-02-28 15:00
1582925933948.0,2.1023683999999996,-0.8522209000000001,-1.2879074,2020-02-28 15:38:53.948000-06:00,2020-02-28 15:00
1582925933997.0,1.6197416,-1.4775965,-3.3064814,2020-02-28 15:38:53.997000-06:00,2020-02-28 15:00
1582925934047.0,0.0012775304,-1.9028143,-2.7732801,2020-02-28 15:38:54.047000-06:00,2020-02-28 15:00
1582925934098.0,-1.1248958,-0.8881425,-3.5752367999999994,2020-02-28 15:38:54.098000-06:00,2020-02-28 15:00
1582925934147.0,-3.072204,-0.45846549999999997,-3.1640252999999996,2020-02-28 15:38:54.147000-06:00,2020-02-28 15:00
1582925934198.0,-1.8457088,1.6092806999999998,0.07856429,2020-02-28 15:38:54.198000-06:00,2020-02-28 15:00
1582925934247.0,-0.42393455,0.49956656,1.8824741000000003,2020-02-28 15:38:54.247000-06:00,2020-02-28 15:00
1582925934297.0,-0.22149448,-2.119007,1.8641862,2020-02-28 15:38:54.297000-06:00,2020-02-28 15:00
1582925934348.0,0.02733701,-1.9942506999999998,1.5978156000000001,2020-02-28 15:38:54.348000-06:00,2020-02-28 15:00
1582925934397.0,-0.40585074,-2.0899137999999997,1.7935678,2020-02-28 15:38:54.397000-06:00,2020-02-28 15:00
1582925934448.0,-1.3997082,-2.7553617999999998,1.9813651,2020-02-28 15:38:54.448000-06:00,2020-02-28 15:00
1582925934497.0,-1.0228256,-0.7014781999999999,2.1054543999999997,2020-02-28 15:38:54.497000-06:00,2020-02-28 15:00
1582925934547.0,-1.7673793999999998,-2.7941964,1.6643397,2020-02-28 15:38:54.547000-06:00,2020-02-28 15:00
1582925934597.0,-1.3798798,-0.5594256,2.0986629,2020-02-28 15:38:54.597000-06:00,2020-02-28 15:00
1582925934647.0,-1.6390513999999998,-0.6958472,0.9087414,2020-02-28 15:38:54.647000-06:00,2020-02-28 15:00
1582925934697.0,-1.3229543,-0.31494698,-0.1863125,2020-02-28 15:38:54.697000-06:00,2020-02-28 15:00
1582925934747.0,0.09385607,-0.101771794,-0.42051384,2020-02-28 15:38:54.747000-06:00,2020-02-28 15:00
1582925934798.0,0.19719926,0.79435754,-0.21153429999999998,2020-02-28 15:38:54.798000-06:00,2020-02-28 15:00
1582925934847.0,-0.067628756,-0.46693024,0.3712696,2020-02-28 15:38:54.847000-06:00,2020-02-28 15:00
1582925934897.0,-0.04372576,-1.1870239,0.80464256,2020-02-28 15:38:54.897000-06:00,2020-02-28 15:00
1582925934947.0,-0.051396362,-1.8138664,1.6552416,2020-02-28 15:38:54.947000-06:00,2020-02-28 15:00
1582925934997.0,-0.6182566999999999,-0.6800096,2.005953,2020-02-28 15:38:54.997000-06:00,2020-02-28 15:00
1582925935048.0,-0.31173270000000003,1.6077442,2.086255,2020-02-28 15:38:55.048000-06:00,2020-02-28 15:00
1582925935097.0,0.8161999,2.5987009999999997,1.2292048999999998,2020-02-28 15:38:55.097000-06:00,2020-02-28 15:00
1582925935147.0,2.8643017000000004,4.899616,1.2628208,2020-02-28 15:38:55.147000-06:00,2020-02-28 15:00
1582925935197.0,0.42481384,3.0171816000000002,-0.6602197,2020-02-28 15:38:55.197000-06:00,2020-02-28 15:00
1582925935248.0,-1.7714237000000002,0.16261812,-0.8511235,2020-02-28 15:38:55.248000-06:00,2020-02-28 15:00
1582925935297.0,-3.1030796,-1.1968981,0.2705437,2020-02-28 15:38:55.297000-06:00,2020-02-28 15:00
1582925935347.0,-1.0799192,-1.3160256000000001,-0.7685049,2020-02-28 15:38:55.347000-06:00,2020-02-28 15:00
1582925935397.0,-1.1615008,-2.7091591,-1.7129196,2020-02-28 15:38:55.397000-06:00,2020-02-28 15:00
1582925935448.0,1.5471529,-2.042558,-1.4802822,2020-02-28 15:38:55.448000-06:00,2020-02-28 15:00
1582925935497.0,0.6438799,0.26510522,0.020047808,2020-02-28 15:38:55.497000-06:00,2020-02-28 15:00
1582925935547.0,1.1056956,0.43110892,0.7946371999999999,2020-02-28 15:38:55.547000-06:00,2020-02-28 15:00
1582925935597.0,0.48956868,0.84736574,0.73455775,2020-02-28 15:38:55.597000-06:00,2020-02-28 15:00
1582925935648.0,-0.46641088,0.30487737,0.089483514,2020-02-28 15:38:55.648000-06:00,2020-02-28 15:00
1582925935698.0,-0.20016137,-0.21916287,-1.2266653,2020-02-28 15:38:55.698000-06:00,2020-02-28 15:00
1582925935748.0,-0.49887982,-0.060560222999999996,-1.1023015,2020-02-28 15:38:55.748000-06:00,2020-02-28 15:00
1582925935797.0,-0.4731079000000001,1.1995124,-0.8902027,2020-02-28 15:38:55.797000-06:00,2020-02-28 15:00
1582925935847.0,-0.94519895,2.5011895,0.0005080416000000001,2020-02-28 15:38:55.847000-06:00,2020-02-28 15:00
1582925935897.0,-0.7099264,0.26684096,0.20002204,2020-02-28 15:38:55.897000-06:00,2020-02-28 15:00
1582925935947.0,-0.8808795,0.39317453,-0.1361601,2020-02-28 15:38:55.947000-06:00,2020-02-28 15:00
1582925935998.0,-0.15168051,-0.08365441,-0.78314626,2020-02-28 15:38:55.998000-06:00,2020-02-28 15:00
1582925936047.0,1.6239629999999998,-0.34238309999999994,-0.42947835,2020-02-28 15:38:56.047000-06:00,2020-02-28 15:00
1582925936098.0,1.2631965,-0.15877691,-0.28260952,2020-02-28 15:38:56.098000-06:00,2020-02-28 15:00
1582925936147.0,5.1627893,2.1174695,-2.3653912999999998,2020-02-28 15:38:56.147000-06:00,2020-02-28 15:00
1582925936197.0,5.7926273,2.7780182,-2.7644422000000004,2020-02-28 15:38:56.197000-06:00,2020-02-28 15:00
1582925936247.0,3.8556432999999997,5.2036676,-1.3409282,2020-02-28 15:38:56.247000-06:00,2020-02-28 15:00
1582925936297.0,-0.37168029999999996,3.4934556000000003,-0.40853277,2020-02-28 15:38:56.297000-06:00,2020-02-28 15:00
1582925936348.0,-1.6391616999999998,-2.6063159,-1.5330907,2020-02-28 15:38:56.348000-06:00,2020-02-28 15:00
1582925936398.0,-1.523842,-5.1210494,-3.5395875,2020-02-28 15:38:56.398000-06:00,2020-02-28 15:00
1582925936447.0,1.4172626,-8.909194,-4.7134194,2020-02-28 15:38:56.447000-06:00,2020-02-28 15:00
1582925936497.0,0.123574525,-7.444741199999999,-1.2809469,2020-02-28 15:38:56.497000-06:00,2020-02-28 15:00
1582925936547.0,5.108228700000001,-6.719602,1.7186881,2020-02-28 15:38:56.547000-06:00,2020-02-28 15:00
1582925936597.0,-0.29970583,-4.523307,2.8542752,2020-02-28 15:38:56.597000-06:00,2020-02-28 15:00
1582925936647.0,-0.07573409,-2.4644357999999995,0.84149206,2020-02-28 15:38:56.647000-06:00,2020-02-28 15:00
1582925936698.0,2.3371465,1.8411881,1.1752954,2020-02-28 15:38:56.698000-06:00,2020-02-28 15:00
1582925936748.0,0.1770549,-1.3764528,0.8983745999999999,2020-02-28 15:38:56.748000-06:00,2020-02-28 15:00
1582925936798.0,-0.44419047,3.7989066,-2.0310352,2020-02-28 15:38:56.798000-06:00,2020-02-28 15:00
1582925936847.0,-1.1499823,6.8492894,-3.215467,2020-02-28 15:38:56.847000-06:00,2020-02-28 15:00
1582925936897.0,-1.2537192,2.0945375,-1.1949205,2020-02-28 15:38:56.897000-06:00,2020-02-28 15:00
1582925936948.0,0.5037179,1.725381,1.4941212,2020-02-28 15:38:56.948000-06:00,2020-02-28 15:00
1582925936998.0,0.6515571,2.4920697,1.1074027,2020-02-28 15:38:56.998000-06:00,2020-02-28 15:00
1582925937047.0,-0.33542523,1.4707568000000002,1.0500976,2020-02-28 15:38:57.047000-06:00,2020-02-28 15:00
1582925937098.0,-0.9470850000000001,1.3003521999999998,1.293305,2020-02-28 15:38:57.098000-06:00,2020-02-28 15:00
1582925937148.0,-1.3222042,-1.0718468,2.9170708999999997,2020-02-28 15:38:57.148000-06:00,2020-02-28 15:00
1582925937197.0,-3.323808,0.66988844,-0.1506245,2020-02-28 15:38:57.197000-06:00,2020-02-28 15:00
1582925937247.0,-3.025505,-0.809157,-0.16505857,2020-02-28 15:38:57.247000-06:00,2020-02-28 15:00
1582925937298.0,-0.624417,-0.7355948,0.027437085,2020-02-28 15:38:57.298000-06:00,2020-02-28 15:00
1582925937348.0,-0.7748899,0.5735114,1.7260596000000001,2020-02-28 15:38:57.348000-06:00,2020-02-28 15:00
1582925937398.0,0.21787257,-0.8008975,0.94291204,2020-02-28 15:38:57.398000-06:00,2020-02-28 15:00
1582925937447.0,0.42949852,-2.630696,0.5638594,2020-02-28 15:38:57.447000-06:00,2020-02-28 15:00
1582925937497.0,0.1916933,-3.3871624,3.0863428,2020-02-28 15:38:57.497000-06:00,2020-02-28 15:00
1582925937547.0,-0.030831998,-2.392527,2.6690874,2020-02-28 15:38:57.547000-06:00,2020-02-28 15:00
1582925937597.0,0.4614107,-1.2928492,0.17999144,2020-02-28 15:38:57.597000-06:00,2020-02-28 15:00
1582925937647.0,0.074715376,-2.3330585999999998,0.46667263,2020-02-28 15:38:57.647000-06:00,2020-02-28 15:00
1582925937698.0,-0.6318909,-0.014898773,-0.29602870000000003,2020-02-28 15:38:57.698000-06:00,2020-02-28 15:00
1582925937747.0,1.0010613000000002,2.725698,-1.9878476000000003,2020-02-28 15:38:57.747000-06:00,2020-02-28 15:00
1582925937797.0,-0.59304804,2.2366097000000003,-1.3381802,2020-02-28 15:38:57.797000-06:00,2020-02-28 15:00
1582925937848.0,-0.19142573,1.4313512,0.20189875,2020-02-28 15:38:57.848000-06:00,2020-02-28 15:00
1582925937898.0,-0.012747763,-0.27835736,0.7333724,2020-02-28 15:38:57.898000-06:00,2020-02-28 15:00
1582925937947.0,-0.26650307,-4.0787277,1.5984764,2020-02-28 15:38:57.947000-06:00,2020-02-28 15:00
1582925937997.0,1.6592508999999998,-4.217647,1.5320778,2020-02-28 15:38:57.997000-06:00,2020-02-28 15:00
1582925938047.0,0.62248886,-3.053291,0.28316337,2020-02-28 15:38:58.047000-06:00,2020-02-28 15:00
1582925938098.0,-1.7134413,-5.2395983,-0.0775288,2020-02-28 15:38:58.098000-06:00,2020-02-28 15:00
1582925938148.0,4.0929046,1.3750653999999998,-2.4400935,2020-02-28 15:38:58.148000-06:00,2020-02-28 15:00
1582925938198.0,3.0246947,0.8021357,0.48141214,2020-02-28 15:38:58.198000-06:00,2020-02-28 15:00
1582925938247.0,0.8422636,-1.8518895,-1.543466,2020-02-28 15:38:58.247000-06:00,2020-02-28 15:00
1582925938298.0,0.07796386,0.09050372,1.2297528,2020-02-28 15:38:58.298000-06:00,2020-02-28 15:00
1582925938348.0,1.1940285,1.4408678,2.1138152999999997,2020-02-28 15:38:58.348000-06:00,2020-02-28 15:00
1582925938397.0,1.3765153,-0.09100181,1.755753,2020-02-28 15:38:58.397000-06:00,2020-02-28 15:00
1582925938447.0,1.6786298,0.6684593000000001,1.0450677,2020-02-28 15:38:58.447000-06:00,2020-02-28 15:00
1582925938497.0,-1.3406883,-0.99632555,-0.80319613,2020-02-28 15:38:58.497000-06:00,2020-02-28 15:00
1582925938547.0,-3.6584027000000003,-4.587372,-0.8550620000000001,2020-02-28 15:38:58.547000-06:00,2020-02-28 15:00
1582925938597.0,0.4006947,-0.704296,-0.8750378000000001,2020-02-28 15:38:58.597000-06:00,2020-02-28 15:00
1582925938647.0,1.4454045,2.728473,-0.15602769,2020-02-28 15:38:58.647000-06:00,2020-02-28 15:00
1582925938697.0,2.2113552000000003,2.459689,-0.9834969000000001,2020-02-28 15:38:58.697000-06:00,2020-02-28 15:00
1582925938747.0,0.14896683,-0.13718194,-0.43377018,2020-02-28 15:38:58.747000-06:00,2020-02-28 15:00
1582925938797.0,0.02962933,0.56758285,-0.20221825,2020-02-28 15:38:58.797000-06:00,2020-02-28 15:00
1582925938847.0,-0.60169655,0.61369956,0.04973513,2020-02-28 15:38:58.847000-06:00,2020-02-28 15:00
1582925938898.0,-0.5514778,1.3393583,-0.14500563,2020-02-28 15:38:58.898000-06:00,2020-02-28 15:00
1582925938948.0,-0.50961006,1.3064767,-0.01927513,2020-02-28 15:38:58.948000-06:00,2020-02-28 15:00
1582925938998.0,-0.58162934,1.7061794999999997,-0.47518873,2020-02-28 15:38:58.998000-06:00,2020-02-28 15:00
1582925939047.0,-0.25829884,1.3570541,-0.5468557,2020-02-28 15:38:59.047000-06:00,2020-02-28 15:00
1582925939097.0,0.016226035,0.62240434,-0.22139,2020-02-28 15:38:59.097000-06:00,2020-02-28 15:00
1582925939148.0,0.34196302,0.6381600000000001,-0.33553353,2020-02-28 15:38:59.148000-06:00,2020-02-28 15:00
1582925939198.0,1.2435143999999998,1.2960254999999998,-0.5274681999999999,2020-02-28 15:38:59.198000-06:00,2020-02-28 15:00
1582925939247.0,2.5418336,2.2446985,-0.725715,2020-02-28 15:38:59.247000-06:00,2020-02-28 15:00
1582925939297.0,0.59844303,0.82828236,-0.47556207,2020-02-28 15:38:59.297000-06:00,2020-02-28 15:00
1582925939347.0,0.060866907000000005,0.049221653,0.05774317,2020-02-28 15:38:59.347000-06:00,2020-02-28 15:00
1582925939398.0,0.33627929999999995,0.46255264,-0.05711941,2020-02-28 15:38:59.398000-06:00,2020-02-28 15:00
1582925939447.0,-0.047841825,0.18428738,0.07054328,2020-02-28 15:38:59.447000-06:00,2020-02-28 15:00
1582925939497.0,-0.66728425,-0.17943513,0.09836789,2020-02-28 15:38:59.497000-06:00,2020-02-28 15:00
1582925939548.0,-0.13168156,0.6714984,-0.14572948,2020-02-28 15:38:59.548000-06:00,2020-02-28 15:00
1582925939597.0,-1.577885,2.3377263999999998,0.28881723,2020-02-28 15:38:59.597000-06:00,2020-02-28 15:00
1582925939647.0,-2.4272367999999998,1.9331293999999999,0.002393478,2020-02-28 15:38:59.647000-06:00,2020-02-28 15:00
1582925939697.0,-1.6586019,0.052672699999999996,0.07181936,2020-02-28 15:38:59.697000-06:00,2020-02-28 15:00
