Time,accX,accY,accZ,DT,Hour
1583287200001.0,-2.729275703430176,-6.164160251617432,6.371555328369141,2020-03-03 20:00:00.001000-06:00,2020-03-03 20:00
1583287200051.0,-2.8479790687561035,-4.8726654052734375,7.393898010253906,2020-03-03 20:00:00.051000-06:00,2020-03-03 20:00
1583287200101.0,-2.826996088027954,-5.317996978759766,7.508237838745117,2020-03-03 20:00:00.101000-06:00,2020-03-03 20:00
1583287200151.0,-2.647388458251953,-6.5489959716796875,6.916553497314453,2020-03-03 20:00:00.151000-06:00,2020-03-03 20:00
1583287200201.0,-2.7130603790283203,-6.902408123016357,6.431295394897461,2020-03-03 20:00:00.201000-06:00,2020-03-03 20:00
1583287200251.0,-2.9400243759155273,-6.269496917724609,6.090944290161133,2020-03-03 20:00:00.251000-06:00,2020-03-03 20:00
1583287200301.0,-2.666545867919922,-7.98980712890625,4.2438507080078125,2020-03-03 20:00:00.301000-06:00,2020-03-03 20:00
1583287200351.0,-2.663137435913086,-8.777240753173828,3.0407257080078125,2020-03-03 20:00:00.351000-06:00,2020-03-03 20:00
1583287200401.0,-2.87615966796875,-7.493263244628906,2.7486720085144043,2020-03-03 20:00:00.401000-06:00,2020-03-03 20:00
1583287200451.0,-2.5445613861083984,-10.648468017578125,-0.83770751953125,2020-03-03 20:00:00.451000-06:00,2020-03-03 20:00
1583287200501.0,-2.281338691711426,-11.405527114868164,-1.9291257858276367,2020-03-03 20:00:00.501000-06:00,2020-03-03 20:00
1583287200551.0,-2.2753870487213135,-8.156539916992188,2.235809326171875,2020-03-03 20:00:00.551000-06:00,2020-03-03 20:00
1583287200601.0,-2.57476806640625,-5.9730224609375,6.7012481689453125,2020-03-03 20:00:00.601000-06:00,2020-03-03 20:00
1583287200651.0,-3.017953872680664,-5.4810380935668945,8.114089965820312,2020-03-03 20:00:00.651000-06:00,2020-03-03 20:00
1583287200701.0,-3.3562698364257812,-4.5326385498046875,8.432088851928711,2020-03-03 20:00:00.701000-06:00,2020-03-03 20:00
1583287200751.0,-3.297513008117676,-3.6244354248046875,8.419639110565186,2020-03-03 20:00:00.751000-06:00,2020-03-03 20:00
1583287200801.0,-3.2123939990997314,-3.4537816047668457,8.000570297241211,2020-03-03 20:00:00.801000-06:00,2020-03-03 20:00
1583287200851.0,-3.122180938720703,-2.36895751953125,8.336383819580078,2020-03-03 20:00:00.851000-06:00,2020-03-03 20:00
1583287200901.0,-2.9296951293945312,-1.9143428802490234,8.224748611450195,2020-03-03 20:00:00.901000-06:00,2020-03-03 20:00
1583287200951.0,-3.005143165588379,-3.2040863037109375,8.381507873535156,2020-03-03 20:00:00.951000-06:00,2020-03-03 20:00
1583287201001.0,-3.308115005493164,-4.482795715332031,8.334095001220703,2020-03-03 20:00:01.001000-06:00,2020-03-03 20:00
1583287201051.0,-3.5860252380371094,-4.270595550537109,8.514810562133789,2020-03-03 20:00:01.051000-06:00,2020-03-03 20:00
1583287201101.0,-3.7579469680786133,-4.1107683181762695,8.373017311096191,2020-03-03 20:00:01.101000-06:00,2020-03-03 20:00
1583287201151.0,-3.560110092163086,-3.0571136474609375,8.849090576171875,2020-03-03 20:00:01.151000-06:00,2020-03-03 20:00
1583287201201.0,-3.3266735076904297,-2.3439884185791016,8.870138168334961,2020-03-03 20:00:01.201000-06:00,2020-03-03 20:00
1583287201251.0,-3.396291732788086,-2.069851875305176,8.94990348815918,2020-03-03 20:00:01.251000-06:00,2020-03-03 20:00
1583287201301.0,-3.258908271789551,-2.014211893081665,8.711069107055664,2020-03-03 20:00:01.301000-06:00,2020-03-03 20:00
1583287201351.0,-3.085399627685547,-1.8747377395629883,8.700723648071289,2020-03-03 20:00:01.351000-06:00,2020-03-03 20:00
1583287201401.0,-2.963439464569092,-2.4140243530273438,8.841357231140137,2020-03-03 20:00:01.401000-06:00,2020-03-03 20:00
1583287201451.0,-2.7364702224731445,-2.2387924194335938,9.404411315917969,2020-03-03 20:00:01.451000-06:00,2020-03-03 20:00
1583287201501.0,-2.4742679595947266,-1.3855934143066406,9.836870193481445,2020-03-03 20:00:01.501000-06:00,2020-03-03 20:00
1583287201551.0,-2.4162634313106537,-2.0081710815429688,9.39883041381836,2020-03-03 20:00:01.551000-06:00,2020-03-03 20:00
1583287201601.0,-2.4049062728881836,-1.979928970336914,9.238403022289276,2020-03-03 20:00:01.601000-06:00,2020-03-03 20:00
1583287201651.0,-2.2576093673706055,-4.002532958984375,7.1988067626953125,2020-03-03 20:00:01.651000-06:00,2020-03-03 20:00
1583287201701.0,-2.5209503173828125,-8.560546875,6.001312255859375,2020-03-03 20:00:01.701000-06:00,2020-03-03 20:00
1583287201751.0,-3.7934951782226562,-9.94720458984375,4.6338958740234375,2020-03-03 20:00:01.751000-06:00,2020-03-03 20:00
1583287201801.0,-5.129356384277344,-12.92578125,2.9986648559570312,2020-03-03 20:00:01.801000-06:00,2020-03-03 20:00
1583287201851.0,-5.83106803894043,-12.357955932617188,3.355701446533203,2020-03-03 20:00:01.851000-06:00,2020-03-03 20:00
1583287201901.0,-5.778140068054199,-10.01220703125,3.3854141235351562,2020-03-03 20:00:01.901000-06:00,2020-03-03 20:00
1583287201951.0,-5.516942977905273,-6.096832275390625,3.9453659057617188,2020-03-03 20:00:01.951000-06:00,2020-03-03 20:00
1583287202001.0,-5.197593688964844,-3.8667373657226562,4.039024353027344,2020-03-03 20:00:02.001000-06:00,2020-03-03 20:00
1583287202051.0,-5.201538562774658,-2.6929092407226562,3.862295150756836,2020-03-03 20:00:02.051000-06:00,2020-03-03 20:00
1583287202101.0,-5.528888702392578,-2.0358409881591797,3.740266799926758,2020-03-03 20:00:02.101000-06:00,2020-03-03 20:00
1583287202151.0,-6.63385009765625,-2.002399444580078,3.4415111541748047,2020-03-03 20:00:02.151000-06:00,2020-03-03 20:00
1583287202201.0,-7.4313812255859375,-2.1785240173339844,3.458268642425537,2020-03-03 20:00:02.201000-06:00,2020-03-03 20:00
1583287202251.0,-7.775557518005371,-2.5898876190185547,3.304274559020996,2020-03-03 20:00:02.251000-06:00,2020-03-03 20:00
1583287202301.0,-7.672258377075195,-2.320934295654297,3.5582809448242188,2020-03-03 20:00:02.301000-06:00,2020-03-03 20:00
1583287202351.0,-6.916343688964844,-1.5595130920410156,3.8625450134277344,2020-03-03 20:00:02.351000-06:00,2020-03-03 20:00
1583287202401.0,-5.774871826171875,-0.73760986328125,3.657236099243164,2020-03-03 20:00:02.401000-06:00,2020-03-03 20:00
1583287202451.0,-4.581001281738281,-0.21938705444335938,3.211923599243164,2020-03-03 20:00:02.451000-06:00,2020-03-03 20:00
