Time,proximity,ambient,leanForward,qW,qX,qY,qZ,aX,aY,aZ,power,cal,DT,Hour
1583279281890.0,0.0,0.0,115.47493109853339,0.03118896484375,0.04827880859375,0.84423828125,-0.53289794921875,0.05078125,-0.11328125,-0.08203125,0.0221405029296875,3.0,2020-03-03 17:48:01.890000-06:00,2020-03-03 17:00
1583279281930.0,0.0,0.0,115.31738964694557,0.03173828125,0.0478515625,0.843505859375,-0.53399658203125,0.05078125,-0.11328125,-0.08203125,0.0221405029296875,3.0,2020-03-03 17:48:01.930000-06:00,2020-03-03 17:00
1583279281980.0,0.0,0.0,115.18602966657184,0.03253173828125,0.04730224609375,0.84295654296875,-0.53497314453125,0.01171875,-0.05859375,-0.01171875,0.0037078857421875,3.0,2020-03-03 17:48:01.980000-06:00,2020-03-03 17:00
1583279282030.0,0.0,0.0,114.69601562603529,0.03656005859375,0.05010986328125,0.8404541015625,-0.53826904296875,-0.06640625,-0.03515625,0.0859375,0.013031005859375,3.0,2020-03-03 17:48:02.030000-06:00,2020-03-03 17:00
1583279282080.0,0.0,0.0,114.25017218315244,0.03973388671875,0.053466796875,0.838134765625,-0.54132080078125,0.02734375,-0.04296875,-0.08984375,0.0106658935546875,3.0,2020-03-03 17:48:02.080000-06:00,2020-03-03 17:00
1583279282130.0,0.0,0.0,113.73627425594678,0.04388427734375,0.05731201171875,0.83544921875,-0.5447998046875,-0.16015625,0.1640625,0.19140625,0.089202880859375,3.0,2020-03-03 17:48:02.130000-06:00,2020-03-03 17:00
1583279282180.0,0.0,0.0,111.88031957639627,0.06060791015625,0.07928466796875,0.82464599609375,-0.5567626953125,0.046875,-0.1640625,0.04296875,0.0309600830078125,3.0,2020-03-03 17:48:02.180000-06:00,2020-03-03 17:00
1583279282230.0,0.0,0.0,109.58936143741094,0.0838623046875,0.110595703125,0.8095703125,-0.57037353515625,0.53125,-0.24609375,-0.20703125,0.385650634765625,3.0,2020-03-03 17:48:02.230000-06:00,2020-03-03 17:00
1583279282280.0,0.0,0.0,107.09717133158414,0.1195068359375,0.13250732421875,0.79339599609375,-0.58203125,0.50390625,0.44921875,-0.21875,0.503570556640625,3.0,2020-03-03 17:48:02.280000-06:00,2020-03-03 17:00
1583279282330.0,0.0,0.0,104.28153597535082,0.1568603515625,0.16375732421875,0.7723388671875,-0.59332275390625,0.921875,0.6171875,-1.17578125,2.6132354736328125,3.0,2020-03-03 17:48:02.330000-06:00,2020-03-03 17:00
1583279282380.0,0.0,0.0,104.06807287572882,0.181640625,0.21929931640625,0.75726318359375,-0.5877685546875,0.2890625,0.015625,0.984375,1.05279541015625,3.0,2020-03-03 17:48:02.380000-06:00,2020-03-03 17:00
1583279282430.0,0.0,0.0,104.68983158676329,0.19927978515625,0.27825927734375,0.7412109375,-0.5775146484375,-0.2421875,-0.109375,1.87890625,3.6009063720703125,3.0,2020-03-03 17:48:02.430000-06:00,2020-03-03 17:00
