sensor,start,end,duration(hours),wear/non-wear,reliability(has data units),reliability(all units)
Accelerometer,2020-02-25 20:04:20.451000-06:00,2020-02-25 21:37:20.451000-06:00,1.55,wear,0.9979223433242507,0.7874664038702741
Accelerometer,2020-02-28 15:38:49.866000-06:00,2020-02-28 15:46:49.866000-06:00,0.13333333333333333,wear,0.998960498960499,0.998960498960499
Accelerometer,2020-03-03 18:24:44.712000-06:00,2020-03-03 20:23:44.712000-06:00,1.9833333333333334,wear,0.9982902103192616,0.9239182187368716
