minute,active,reliability
2020-03-03 18:24:44.712000-06:00,1,0.9841666666666669
2020-03-03 18:25:44.712000-06:00,1,0.9924999999999999
2020-03-03 18:26:44.712000-06:00,1,0.9875
2020-03-03 18:27:44.712000-06:00,1,0.9766666666666667
2020-03-03 18:32:44.712000-06:00,1,0.5166666666666667
2020-03-03 18:33:44.712000-06:00,1,0.995
2020-03-03 18:34:44.712000-06:00,1,0.9966666666666666
2020-03-03 18:35:44.712000-06:00,1,1.0
2020-03-03 18:36:44.712000-06:00,1,0.675
2020-03-03 18:37:44.712000-06:00,1,1.0
2020-03-03 18:38:44.712000-06:00,1,0.995
2020-03-03 18:39:44.712000-06:00,1,1.0
2020-03-03 18:40:44.712000-06:00,1,0.9975
2020-03-03 18:41:44.712000-06:00,1,0.9975
2020-03-03 18:42:44.712000-06:00,1,0.8333333333333334
2020-03-03 18:43:44.712000-06:00,1,0.9966666666666666
2020-03-03 18:44:44.712000-06:00,1,1.0
2020-03-03 18:45:44.712000-06:00,1,1.0
2020-03-03 18:46:44.712000-06:00,1,1.0
2020-03-03 18:47:44.712000-06:00,1,0.9983333333333333
2020-03-03 18:48:44.712000-06:00,1,0.9966666666666666
2020-03-03 18:49:44.712000-06:00,1,1.0
2020-03-03 18:50:44.712000-06:00,1,1.0
2020-03-03 18:51:44.712000-06:00,1,1.0
2020-03-03 18:52:44.712000-06:00,1,1.0
2020-03-03 18:53:44.712000-06:00,1,1.0
2020-03-03 18:54:44.712000-06:00,1,1.0
2020-03-03 18:55:44.712000-06:00,1,1.0
2020-03-03 18:56:44.712000-06:00,1,1.0
2020-03-03 18:57:44.712000-06:00,1,1.0
2020-03-03 18:58:44.712000-06:00,1,1.0
2020-03-03 18:59:44.712000-06:00,1,0.9983333333333333
2020-03-03 19:00:44.712000-06:00,1,1.0
2020-03-03 19:01:44.712000-06:00,1,1.0
2020-03-03 19:02:44.712000-06:00,1,1.0
2020-03-03 19:03:44.712000-06:00,1,0.9983333333333333
2020-03-03 19:04:44.712000-06:00,1,1.0
2020-03-03 19:05:44.712000-06:00,1,1.0
2020-03-03 19:06:44.712000-06:00,1,1.0
2020-03-03 19:07:44.712000-06:00,1,1.0
2020-03-03 19:08:44.712000-06:00,1,1.0
2020-03-03 19:09:44.712000-06:00,1,1.0
2020-03-03 19:10:44.712000-06:00,1,0.9983333333333333
2020-03-03 19:11:44.712000-06:00,1,0.995
2020-03-03 19:12:44.712000-06:00,1,1.0
2020-03-03 19:13:44.712000-06:00,1,1.0
2020-03-03 19:14:44.712000-06:00,1,1.0
2020-03-03 19:15:44.712000-06:00,1,0.9991666666666668
2020-03-03 19:16:44.712000-06:00,1,0.9991666666666668
2020-03-03 19:17:44.712000-06:00,1,0.9975
2020-03-03 19:18:44.712000-06:00,1,1.0
2020-03-03 19:19:44.712000-06:00,1,0.9900000000000001
2020-03-03 19:20:44.712000-06:00,1,0.9983333333333333
2020-03-03 19:21:44.712000-06:00,1,1.0
2020-03-03 19:22:44.712000-06:00,1,1.0
2020-03-03 19:23:44.712000-06:00,1,1.0
2020-03-03 19:24:44.712000-06:00,1,1.0
2020-03-03 19:25:44.712000-06:00,1,0.9975
2020-03-03 19:26:44.712000-06:00,1,1.0
2020-03-03 19:27:44.712000-06:00,1,0.9958333333333333
2020-03-03 19:28:44.712000-06:00,1,0.9908333333333333
2020-03-03 19:29:44.712000-06:00,1,0.9983333333333333
2020-03-03 19:30:44.712000-06:00,1,0.9975
2020-03-03 19:31:44.712000-06:00,1,1.0
2020-03-03 19:32:44.712000-06:00,1,1.0
2020-03-03 19:33:44.712000-06:00,1,1.0
2020-03-03 19:34:44.712000-06:00,1,0.6549999999999999
2020-03-03 19:38:44.712000-06:00,1,0.45
2020-03-03 19:39:44.712000-06:00,1,0.9975
2020-03-03 19:40:44.712000-06:00,1,1.0
2020-03-03 19:41:44.712000-06:00,1,1.0
2020-03-03 19:42:44.712000-06:00,1,1.0
2020-03-03 19:43:44.712000-06:00,1,0.9983333333333333
2020-03-03 19:44:44.712000-06:00,1,0.9924999999999999
2020-03-03 19:45:44.712000-06:00,1,0.9966666666666666
2020-03-03 19:46:44.712000-06:00,1,1.0
2020-03-03 19:47:44.712000-06:00,1,0.9933333333333333
2020-03-03 19:48:44.712000-06:00,1,0.9991666666666668
2020-03-03 19:49:44.712000-06:00,1,1.0
2020-03-03 19:50:44.712000-06:00,1,1.0
2020-03-03 19:51:44.712000-06:00,1,1.0
2020-03-03 19:52:44.712000-06:00,1,1.0
2020-03-03 19:53:44.712000-06:00,1,1.0
2020-03-03 19:54:44.712000-06:00,1,1.0
2020-03-03 19:55:44.712000-06:00,1,1.0
2020-03-03 19:56:44.712000-06:00,1,1.0
2020-03-03 19:57:44.712000-06:00,1,1.0
2020-03-03 19:58:44.712000-06:00,1,1.0
2020-03-03 19:59:44.712000-06:00,1,1.0
2020-03-03 20:00:44.712000-06:00,1,1.0
2020-03-03 20:01:44.712000-06:00,1,1.0
2020-03-03 20:02:44.712000-06:00,1,1.0
2020-03-03 20:03:44.712000-06:00,1,1.0
2020-03-03 20:04:44.712000-06:00,1,1.0
2020-03-03 20:05:44.712000-06:00,1,0.9958333333333333
2020-03-03 20:06:44.712000-06:00,1,0.9983333333333333
2020-03-03 20:07:44.712000-06:00,1,0.9941666666666668
2020-03-03 20:08:44.712000-06:00,1,1.0
2020-03-03 20:09:44.712000-06:00,1,0.9983333333333333
2020-03-03 20:10:44.712000-06:00,1,0.9941666666666668
2020-03-03 20:11:44.712000-06:00,1,0.9966666666666666
2020-03-03 20:12:44.712000-06:00,1,0.9958333333333333
2020-03-03 20:13:44.712000-06:00,1,1.0
2020-03-03 20:14:44.712000-06:00,1,0.9975
2020-03-03 20:15:44.712000-06:00,1,1.0
2020-03-03 20:16:44.712000-06:00,1,1.0
2020-03-03 20:17:44.712000-06:00,1,1.0
2020-03-03 20:18:44.712000-06:00,1,1.0
2020-03-03 20:19:44.712000-06:00,1,1.0
2020-03-03 20:20:44.712000-06:00,1,1.0
2020-03-03 20:21:44.712000-06:00,1,1.0
2020-03-03 20:22:44.712000-06:00,1,0.9983333333333333
2020-03-03 20:23:44.712000-06:00,1,0.7000000000000001
