Time,rotX,rotY,rotZ,DT,Hour
1582686000021.0,-0.8970999,-1.2286172,-0.39084357,2020-02-25 21:00:00.021000-06:00,2020-02-25 21:00
1582686000071.0,-0.48453596,-1.4482795,-0.6934024999999999,2020-02-25 21:00:00.071000-06:00,2020-02-25 21:00
1582686000121.0,-0.47423896,-1.5223118,-0.94802743,2020-02-25 21:00:00.121000-06:00,2020-02-25 21:00
1582686000171.0,0.1431642,-1.2463528,-1.0047716999999998,2020-02-25 21:00:00.171000-06:00,2020-02-25 21:00
1582686000221.0,-0.018033363,-0.9294343,-0.9053184999999999,2020-02-25 21:00:00.221000-06:00,2020-02-25 21:00
1582686000271.0,0.21312429,-0.6491336,-0.70719606,2020-02-25 21:00:00.271000-06:00,2020-02-25 21:00
1582686000322.0,0.27206199999999997,-0.6190804,-0.46791613,2020-02-25 21:00:00.322000-06:00,2020-02-25 21:00
1582686000371.0,-0.41688156,-0.5053416000000001,-0.17735288,2020-02-25 21:00:00.371000-06:00,2020-02-25 21:00
1582686000421.0,-0.62059647,-0.17697839999999998,0.15244979,2020-02-25 21:00:00.421000-06:00,2020-02-25 21:00
1582686000471.0,-0.7407268,0.03120302,0.27286136,2020-02-25 21:00:00.471000-06:00,2020-02-25 21:00
1582686000522.0,-0.48049929999999996,0.13117586,0.29276478,2020-02-25 21:00:00.522000-06:00,2020-02-25 21:00
1582686000572.0,-0.25867757,0.117196254,0.25935966,2020-02-25 21:00:00.572000-06:00,2020-02-25 21:00
1582686000621.0,-0.21173725,0.0448707,0.21116374,2020-02-25 21:00:00.621000-06:00,2020-02-25 21:00
1582686000671.0,-0.26369825,0.040557504,0.13422018,2020-02-25 21:00:00.671000-06:00,2020-02-25 21:00
1582686000722.0,-0.20068908,0.05497925,0.04665137,2020-02-25 21:00:00.722000-06:00,2020-02-25 21:00
1582686000771.0,-0.15836889,0.05174461,0.00034599705000000003,2020-02-25 21:00:00.771000-06:00,2020-02-25 21:00
1582686000822.0,-0.13788229999999999,0.059372894,-0.018263586000000002,2020-02-25 21:00:00.822000-06:00,2020-02-25 21:00
1582686000871.0,-0.11382091,0.08096132,-0.017866945,2020-02-25 21:00:00.871000-06:00,2020-02-25 21:00
1582686000921.0,-0.09449095,0.07197829,-0.021301993999999998,2020-02-25 21:00:00.921000-06:00,2020-02-25 21:00
1582686000971.0,-0.07841463,0.047290396,-0.041478562999999996,2020-02-25 21:00:00.971000-06:00,2020-02-25 21:00
1582686001022.0,-0.07162788,0.0004933113,-0.08740822,2020-02-25 21:00:01.022000-06:00,2020-02-25 21:00
1582686001072.0,-0.067538776,-0.03561518,-0.13421157,2020-02-25 21:00:01.072000-06:00,2020-02-25 21:00
1582686001122.0,-0.05994898,-0.029001497,-0.17937467,2020-02-25 21:00:01.122000-06:00,2020-02-25 21:00
1582686001171.0,-0.033841662,-0.02265025,-0.21654016,2020-02-25 21:00:01.171000-06:00,2020-02-25 21:00
1582686001222.0,-0.014948126,-0.08673983,-0.22399962,2020-02-25 21:00:01.222000-06:00,2020-02-25 21:00
1582686001272.0,0.021982962,-0.10877125,-0.21832293,2020-02-25 21:00:01.272000-06:00,2020-02-25 21:00
1582686001322.0,0.060464457,-0.113146774,-0.23267134,2020-02-25 21:00:01.322000-06:00,2020-02-25 21:00
1582686001371.0,0.11119053,-0.1435058,-0.26859203,2020-02-25 21:00:01.371000-06:00,2020-02-25 21:00
1582686001421.0,0.13971865,-0.14286251,-0.32671696,2020-02-25 21:00:01.421000-06:00,2020-02-25 21:00
1582686001471.0,0.10220278,-0.09327169,-0.38495532,2020-02-25 21:00:01.471000-06:00,2020-02-25 21:00
1582686001522.0,0.06799148,-0.044345499999999996,-0.45112878,2020-02-25 21:00:01.522000-06:00,2020-02-25 21:00
1582686001572.0,0.023557707999999997,-0.0073779775,-0.4921847,2020-02-25 21:00:01.572000-06:00,2020-02-25 21:00
1582686001621.0,0.004909957,0.012543637,-0.48936057,2020-02-25 21:00:01.621000-06:00,2020-02-25 21:00
1582686001671.0,0.0050108144,-0.007840162,-0.44540268,2020-02-25 21:00:01.671000-06:00,2020-02-25 21:00
1582686001722.0,-0.043941937,-0.047994755,-0.34673414,2020-02-25 21:00:01.722000-06:00,2020-02-25 21:00
1582686001771.0,-0.018040795,-0.12705854,-0.21365844,2020-02-25 21:00:01.771000-06:00,2020-02-25 21:00
1582686001821.0,0.035317026,-0.23244728,-0.06067175,2020-02-25 21:00:01.821000-06:00,2020-02-25 21:00
1582686001871.0,0.075543426,-0.32653007,0.07873182,2020-02-25 21:00:01.871000-06:00,2020-02-25 21:00
1582686001922.0,0.08339158,-0.38001934,0.13802862,2020-02-25 21:00:01.922000-06:00,2020-02-25 21:00
1582686001972.0,0.07696123,-0.37579759999999995,0.15599598,2020-02-25 21:00:01.972000-06:00,2020-02-25 21:00
1582686002022.0,0.077471316,-0.35025394,0.15530278,2020-02-25 21:00:02.022000-06:00,2020-02-25 21:00
1582686002071.0,0.077506594,-0.31624067,0.119039424,2020-02-25 21:00:02.071000-06:00,2020-02-25 21:00
1582686002121.0,0.08551376,-0.26770679999999997,0.06299411,2020-02-25 21:00:02.121000-06:00,2020-02-25 21:00
1582686002172.0,0.09676069999999999,-0.22357419,0.019239966,2020-02-25 21:00:02.172000-06:00,2020-02-25 21:00
1582686002221.0,0.07278584,-0.1762759,-0.025383843,2020-02-25 21:00:02.221000-06:00,2020-02-25 21:00
1582686002271.0,0.047858517999999996,-0.120466,-0.05570364,2020-02-25 21:00:02.271000-06:00,2020-02-25 21:00
1582686002322.0,0.03316359,-0.06785035,-0.06692103,2020-02-25 21:00:02.322000-06:00,2020-02-25 21:00
1582686002371.0,0.044983324000000005,-0.04100839,-0.060001522,2020-02-25 21:00:02.371000-06:00,2020-02-25 21:00
1582686002421.0,0.048055727,-0.02825164,-0.048397977,2020-02-25 21:00:02.421000-06:00,2020-02-25 21:00
1582686002471.0,0.03175708,-0.019593198,-0.03940074,2020-02-25 21:00:02.471000-06:00,2020-02-25 21:00
1582686002521.0,0.013425115500000001,-0.00225764,-0.022062209,2020-02-25 21:00:02.521000-06:00,2020-02-25 21:00
1582686002571.0,0.0031145929999999997,0.008444489,-0.006165718000000001,2020-02-25 21:00:02.571000-06:00,2020-02-25 21:00
1582686002621.0,0.0007913159,0.005883001,-0.0037858298,2020-02-25 21:00:02.621000-06:00,2020-02-25 21:00
1582686002672.0,-0.0050362977,0.0013769814000000001,-0.0053850613,2020-02-25 21:00:02.672000-06:00,2020-02-25 21:00
1582686002721.0,0.002547057,-0.021769904,0.0065852054,2020-02-25 21:00:02.721000-06:00,2020-02-25 21:00
1582686002771.0,0.0015224724,-0.02095871,0.018605517,2020-02-25 21:00:02.771000-06:00,2020-02-25 21:00
1582686002822.0,-0.0064899484,-0.0062408224,0.027087059,2020-02-25 21:00:02.822000-06:00,2020-02-25 21:00
1582686002871.0,-0.0047176545000000005,0.0014976957,0.02510599,2020-02-25 21:00:02.871000-06:00,2020-02-25 21:00
1582686002921.0,-0.006022564,0.010232159000000001,0.015719071,2020-02-25 21:00:02.921000-06:00,2020-02-25 21:00
1582686002972.0,-0.005124852,0.0146988,0.007858694,2020-02-25 21:00:02.972000-06:00,2020-02-25 21:00
1582686003021.0,0.0021640647,0.007798579,-0.0014958233,2020-02-25 21:00:03.021000-06:00,2020-02-25 21:00
1582686003072.0,0.013023045,-0.011174497,0.0035551945,2020-02-25 21:00:03.072000-06:00,2020-02-25 21:00
1582686003121.0,0.0014083211,-0.013439774,0.0015153019,2020-02-25 21:00:03.121000-06:00,2020-02-25 21:00
1582686003171.0,-0.016755095,-0.0097962,-0.00504313,2020-02-25 21:00:03.171000-06:00,2020-02-25 21:00
1582686003221.0,-0.029696537000000002,-0.01597182,0.0055436487,2020-02-25 21:00:03.221000-06:00,2020-02-25 21:00
1582686003271.0,-0.013689201000000002,-0.03587158,0.02661494,2020-02-25 21:00:03.271000-06:00,2020-02-25 21:00
1582686003322.0,-0.01124253,-0.039997023,0.034377366,2020-02-25 21:00:03.322000-06:00,2020-02-25 21:00
1582686003371.0,-0.0031701840000000004,-0.04389463,0.02351287,2020-02-25 21:00:03.371000-06:00,2020-02-25 21:00
1582686003421.0,0.015963167,-0.059943218,0.013741197,2020-02-25 21:00:03.421000-06:00,2020-02-25 21:00
1582686003471.0,0.020054188,-0.06258184,0.009910275999999999,2020-02-25 21:00:03.471000-06:00,2020-02-25 21:00
1582686003522.0,0.018854013,-0.054100696,-0.0036795323,2020-02-25 21:00:03.522000-06:00,2020-02-25 21:00
1582686003571.0,0.0057164878,-0.03496572,-0.008665999,2020-02-25 21:00:03.571000-06:00,2020-02-25 21:00
1582686003621.0,-0.013934765,-0.016818076,-0.0036844364000000003,2020-02-25 21:00:03.621000-06:00,2020-02-25 21:00
1582686003671.0,-0.01674359,-0.015938748,0.013034137,2020-02-25 21:00:03.671000-06:00,2020-02-25 21:00
1582686003721.0,-0.00537745,-0.021049187,0.03162888,2020-02-25 21:00:03.721000-06:00,2020-02-25 21:00
1582686003771.0,-0.0061623547,-0.009764379,0.029099211,2020-02-25 21:00:03.771000-06:00,2020-02-25 21:00
1582686003821.0,0.0038124879999999997,0.008511734,0.01842305,2020-02-25 21:00:03.821000-06:00,2020-02-25 21:00
1582686003872.0,0.007311880600000001,0.018416062,0.0034973485999999997,2020-02-25 21:00:03.872000-06:00,2020-02-25 21:00
1582686003921.0,0.0038796056,0.031284194,-0.005169051,2020-02-25 21:00:03.921000-06:00,2020-02-25 21:00
